Code,Country,DWBF,EmpRate,pEarn,QOSN,YearsEdu,AirPol,WaterQ,SRHealth,LifeSatis,Safe,HomRate
AUS,Australia,1.1,72,51148,95,19.2,6,94,85,7.3,62.6,0.8
AUT,Austria,1,71,45988,93,17.1,15,93,69,7.1,81.2,0.4
BEL,Belgium,2.1,62,48093,88,18.8,19,83,74,6.9,69.6,1.1
CAN,Canada,0.2,72,48164,94,16.3,12,90,89,7.4,81.7,1.5
CHL,Chile,9.4,62,21370,82,17.1,18,71,59,6.5,50.2,3.8
CZE,Czech Republic,0.7,69,21185,90,17.4,17,88,60,6.6,70.1,0.9
DNK,Denmark,0.5,73,49589,96,19.6,11,95,72,7.5,85.2,0.3
EST,Estonia,7.2,70,21020,90,17.8,9,84,53,5.6,67.2,4.8
FIN,Finland,0.6,69,40742,94,19.7,7,94,65,7.4,85.8,1.5
FRA,France,0.5,64,40828,89,16.4,14,84,67,6.4,70.6,0.6
DEU,Germany,0,74,43872,92,18.1,15,94,65,7,74.6,0.5
GRC,Greece,0.5,49,26436,83,18.5,15,69,74,5.6,62.5,1.5
HUN,Hungary,5.3,62,21399,82,17.2,16,76,57,5.3,53.2,1.2
ISL,Iceland,0,82,56789,96,19.6,7,97,77,7.5,78.1,0.3
IRL,Ireland,0.1,61,53286,95,17.8,8,82,82,6.8,77,0.8
ISR,Israel,4.4,68,29635,86,15.9,26,65,80,7.1,66.3,1.8
ITA,Italy,0.8,57,34744,91,16.8,18,70,66,5.8,59.3,0.8
JPN,Japan,6.4,73,35672,91,16,16,87,35,5.9,70.2,0.3
KOR,Korea,4.2,65,36653,76,17.5,29,78,35,5.8,67.7,1.1
LVA,Latvia,14.7,66,22270,84,17.8,12,76,50,5.9,61.6,6.1
LUX,Luxembourg,0.1,67,61511,93,15.1,15,85,72,6.7,70.6,0.2
MEX,Mexico,4.2,60,12850,75,14.4,12,68,66,6.2,39.9,23.4
NLD,Netherlands,0,73,51003,88,17.9,17,94,76,7.3,80.5,0.8
NZL,New Zealand,0.3,74,45183,99,18,9,92,90,7.4,64.4,1.2
NOR,Norway,0,75,51718,93,18,6,97,76,7.6,89.6,1
POL,Poland,3.1,62,23649,86,17.9,17,80,58,6,66.1,1
PRT,Portugal,1,63,23977,85,17.4,10,89,46,5.1,69.2,0.9
SVK,Slovak Republic,1.3,61,22151,92,16.2,16,81,66,6.2,62.1,1.2
SVN,Slovenia,0.6,64,33068,89,18.3,14,91,65,5.7,83.9,0.4
ESP,Spain,0.1,57,36013,96,17.7,12,71,72,6.4,81.6,0.6
SWE,Sweden,0,75,40994,92,19.1,7,95,81,7.3,76.8,0.8
CHE,Switzerland,0,80,57082,93,17.4,17,97,81,7.6,87.4,0.5
TUR,Turkey,7.6,50,15992,84,16.9,17,63,68,5.5,60.4,1.7
GBR,United Kingdom,0.4,73,41659,93,16.7,11,87,74,6.5,77.8,0.2
USA,United States,0.1,68,57139,90,17.1,11,84,88,6.9,73.9,5.2
BRA,Brazil,6.7,67,10229,90,15.6,17,73,70,6.5,39.5,26.7
RUS,Russia,14.4,69,26977,91,16.1,14,49,39,6,52.9,11.3
ZAF,South Africa,20.5,43,5429,90,15.4,14,69,67,4.9,39.8,9.6
